Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
25,Proceso(1),0,3.406293833515791,3.406293833515791
25,Proceso(2),0,0,0
25,Proceso(3),0,3.406293833515791,3.406293833515791
25,Proceso(4),0,2.4728452480736856,2.4728452480736856
25,Proceso(5),0.07520434650702679,3.406293833515791,3.331089487008764
25,Proceso(6),0.48468154809372943,3.406293833515791,2.9216122854220616
25,Proceso(7),0.48468154809372943,0.48468154809372943,0.0
25,Proceso(8),0.48468154809372943,0.48468154809372943,0.0
25,Proceso(9),0.48468154809372943,3.406293833515791,2.9216122854220616
25,Proceso(10),0.5468822882293087,2.708059938792055,2.1611776505627462
25,Proceso(11),0.5468822882293087,0.5468822882293087,0.0
25,Proceso(12),0.5468822882293087,2.708059938792055,2.1611776505627462
25,Proceso(13),0.5468822882293087,3.406293833515791,2.8594115452864823
25,Proceso(14),0.5468822882293087,0.5468822882293087,0.0
25,Proceso(15),0.5468822882293087,3.406293833515791,2.8594115452864823
25,Proceso(16),2.4728452480736856,4.526676290685588,2.053831042611902
25,Proceso(17),2.541044188234943,5.287247084793758,2.7462028965588146
25,Proceso(18),2.7077476742779427,2.7077476742779427,0.0
25,Proceso(19),2.708059938792055,4.142995455339024,1.434935516546969
25,Proceso(20),3.269385971500027,5.461372825317448,2.191986853817421
25,Proceso(21),3.406293833515791,3.406293833515791,0.0
25,Proceso(22),3.406293833515791,3.406293833515791,0.0
25,Proceso(23),3.406293833515791,3.406293833515791,0.0
25,Proceso(24),3.406293833515791,4.526676290685588,1.120382457169797
25,Proceso(25),3.406293833515791,4.526676290685588,1.120382457169797
50,Proceso(1),0,4.122118450898083,4.122118450898083
50,Proceso(2),0,8.074144336767501,8.074144336767501
50,Proceso(3),0.2810029566243995,7.102941945362401,6.821938988738002
50,Proceso(4),0.3950090864089245,8.074144336767501,7.679135250358577
50,Proceso(5),1.145863768096145,1.145863768096145,0.0
50,Proceso(6),1.145863768096145,8.074144336767501,6.928280568671356
50,Proceso(7),1.1592266255690205,8.074144336767501,6.9149177111984805
50,Proceso(8),2.681581088815836,2.681581088815836,0.0
50,Proceso(9),2.681581088815836,5.207951829880315,2.526370741064479
50,Proceso(10),2.8281234861007225,13.623799457717377,10.795675971616655
50,Proceso(11),2.9632648254468945,8.074144336767501,5.110879511320607
50,Proceso(12),2.9632648254468945,2.9632648254468945,0.0
50,Proceso(13),2.9632648254468945,6.570683804255137,3.6074189788082425
50,Proceso(14),3.1340999702938976,8.074144336767501,4.940044366473604
50,Proceso(15),3.195381053774056,7.102941945362401,3.907560891588345
50,Proceso(16),4.122118450898083,8.074144336767501,3.9520258858694186
50,Proceso(17),5.207951829880315,5.207951829880315,0.0
50,Proceso(18),5.207951829880315,5.207951829880315,0.0
50,Proceso(19),5.814603895146295,8.074144336767501,2.2595404416212066
50,Proceso(20),7.102941945362401,7.102941945362401,0.0
50,Proceso(21),7.102941945362401,12.621928326559264,5.5189863811968625
50,Proceso(22),8.074144336767501,8.074144336767501,0.0
50,Proceso(23),8.074144336767501,10.96115626252964,2.8870119257621383
50,Proceso(24),8.074144336767501,8.074144336767501,0.0
50,Proceso(25),8.074144336767501,8.074144336767501,0.0
50,Proceso(26),8.074144336767501,22.371136359602,14.2969920228345
50,Proceso(27),8.93641757550651,19.59415434667605,10.657736771169539
50,Proceso(28),10.065245104887394,13.143235696324158,3.0779905914367642
50,Proceso(29),10.065245104887394,22.371136359602,12.305891254714608
50,Proceso(30),10.308207984925836,20.59574766659552,10.287539681669685
50,Proceso(31),10.308207984925836,19.171667531201507,8.86345954627567
50,Proceso(32),10.83768709703767,16.231075418035143,5.393388320997474
50,Proceso(33),10.96115626252964,16.231075418035143,5.269919155505503
50,Proceso(34),10.96115626252964,10.96115626252964,0.0
50,Proceso(35),10.96115626252964,10.96115626252964,0.0
50,Proceso(36),10.96115626252964,10.96115626252964,0.0
50,Proceso(37),10.96115626252964,22.371136359602,11.409980097072362
50,Proceso(38),12.571940536487755,19.171667531201507,6.599726994713752
50,Proceso(39),12.571940536487755,12.571940536487755,0.0
50,Proceso(40),12.571940536487755,22.471888161980367,9.899947625492612
50,Proceso(41),12.571940536487755,22.371136359602,9.799195823114246
50,Proceso(42),16.231075418035143,21.731103256052705,5.500027838017562
50,Proceso(43),17.185111437981913,23.949114309607662,6.764002871625749
50,Proceso(44),17.185111437981913,17.185111437981913,0.0
50,Proceso(45),17.185111437981913,22.371136359602,5.186024921620088
50,Proceso(46),17.352326253902362,22.471888161980367,5.119561908078005
50,Proceso(47),19.171667531201507,23.949114309607662,4.777446778406155
50,Proceso(48),19.171667531201507,19.171667531201507,0.0
50,Proceso(49),20.59574766659552,20.59574766659552,0.0
50,Proceso(50),20.938829329397194,26.37846857248546,5.439639243088266
100,Proceso(1),0,0,0
100,Proceso(2),0,0,0
100,Proceso(3),0,1.0173334347746517,1.0173334347746517
100,Proceso(4),0,8.760279104934591,8.760279104934591
100,Proceso(5),0,3.36647431337199,3.36647431337199
100,Proceso(6),0,0,0
100,Proceso(7),0,1.166228892736116,1.166228892736116
100,Proceso(8),0,3.2016983357465683,3.2016983357465683
100,Proceso(9),0,3.0276761493760693,3.0276761493760693
100,Proceso(10),0,3.0276761493760693,3.0276761493760693
100,Proceso(11),0,1.166228892736116,1.166228892736116
100,Proceso(12),0,3.2016983357465683,3.2016983357465683
100,Proceso(13),0.06738105414411369,3.0276761493760693,2.9602950952319556
100,Proceso(14),0.5749108224108274,0.5749108224108274,0.0
